StudyID;SampleID;ESID;CaseID_Count;2_Author;3_Year;interval;timepoints;10_Size;11_Mage;16_CNT;17_Eth;18_Female;Negative/Positive+LS;30_Covid;31_WBm;33_Relt1;34_Relt;avg_rel;WBmi;WBsdi;WBmj;WBsdj;WBcorrij;WBtitj;region;income_level;agem1ic1;agem1ic2;agem1ic3;timelagc;agem2i;corrmean;corrx;es_d;es_dyear;v_d;v_dyear
11523;13115231;323;4;Adie et al.;2010;2-3;5;91;13,82;UK;Not specified;0;1;no;Other;0,75;0,81;0,78;2,54;1,09;2,38;0,86;;0,99;Europe;High income;0,1;0,01;0,001;0;14,81;0,524095238;0,524095238;-0,146788991;-0,148271708;0,010577835;0,010792608
11523;13115231;324;4;Adie et al.;2010;3-4;5;91;13,82;UK;Not specified;0;1;no;Other;0,75;0,81;0,78;2,38;0,86;2,37;0,86;;0,99;Europe;High income;0,1;0,01;0,001;0;14,81;0,524095238;0,524095238;-0,011627907;-0,011745361;0,010460188;0,010672572
11523;13115231;325;4;Adie et al.;2010;4-5;5;91;13,82;UK;Not specified;0;1;no;Other;0,75;0,81;0,78;2,37;0,86;2,57;1,13;;1;Europe;High income;0,1;0,01;0,001;0,01;14,82;0,524095238;0,524095238;0,23255814;0,23255814;0,010756606;0,010756606
11524;13115240;326;3;Armeta et al.;2014;1-2;4;632;11,11;U.S.;Indigenous;0,5;1;no;Other;0,66;0,72;0,69;3,25;3,49;3,28;3,74;;2;North America;High income;-2,61;6,8121;-17,779581;1,01;13,11;0,524095238;0,524095238;0,008595989;0,004297994;0,001506086;0,000376522
11524;13115240;327;3;Armeta et al.;2014;2-3;4;632;11,11;U.S.;Indigenous;0,5;1;no;Other;0,66;0,72;0,69;3,28;3,74;3,29;3,8;;2;North America;High income;-2,61;6,8121;-17,779581;1,01;13,11;0,524095238;0,524095238;0,002673797;0,001336898;0,001506033;0,000376508
11524;13115240;328;3;Armeta et al.;2014;3-4;4;632;11,11;U.S.;Indigenous;0,5;1;no;Other;0,66;0,72;0,69;3,29;3,8;2,89;3,45;;2;North America;High income;-2,61;6,8121;-17,779581;1,01;13,11;0,524095238;0,524095238;-0,105263158;-0,052631579;0,001514794;0,000378698
11524;13115241;329;3;Armeta et al.;2014;1-2;4;632;11,11;U.S.;Indigenous;0,5;0;no;Other;0,79;0,85;0,82;2,96;2,71;3,61;2,8;;2;North America;High income;-2,61;6,8121;-17,779581;1,01;13,11;0,524095238;0,524095238;0,239852399;0,119926199;0,001551541;0,000387885
11524;13115241;330;3;Armeta et al.;2014;2-3;4;632;11,11;U.S.;Indigenous;0,5;0;no;Other;0,79;0,85;0,82;3,61;2,8;3,23;2,68;;2;North America;High income;-2,61;6,8121;-17,779581;1,01;13,11;0,524095238;0,524095238;-0,135714286;-0,067857143;0,001520599;0,00038015
11524;13115241;331;3;Armeta et al.;2014;3-4;4;632;11,11;U.S.;Indigenous;0,5;0;no;Other;0,79;0,85;0,82;3,23;2,68;2,7;2,52;;2;North America;High income;-2,61;6,8121;-17,779581;1,01;13,11;0,524095238;0,524095238;-0,197761194;-0,098880597;0,001536969;0,000384242
11526;13115260;332;2;Bearman et al.;2006;1-2;3;247;13,57;U.S.;White/European;0,58;1;no;Other;0,79;0,85;0,82;2,78;0,6;2,79;0,73;;1;North America;High income;-0,15;0,0225;-0,003375;0,01;14,57;0,524095238;0,524095238;0,016666667;0,016666667;0,003854042;0,003854042
